Power                   Time
299.9522917626343	0.256
299.9522917626343	0.268
299.9522917626343	0.28
299.9522917626343	0.292
299.9522917626343	0.304
299.9522917626343	0.316
299.9522917626343	0.328
299.9522917626343	0.34
299.9522917626343	0.352
299.9522917626343	0.364
299.9522917626343	0.376
299.9522917626343	0.388
299.9522917626343	0.4
299.9522917626343	0.412
299.9522917626343	0.424
299.9522917626343	0.436
313.5924196003086	0.448
330.37389293866045	0.46
350.1098633682236	0.472
372.9692920185746	0.484
399.44738894520685	0.496
430.2906089202629	0.508
466.3833349802385	0.52
508.5989450228748	0.532
557.6256284898727	0.544
613.8135359152521	0.556
677.0746587602606	0.568
746.8292268080966	0.58
821.9985952651141	0.592
901.0450548726923	0.604
982.0688961844079	0.616
1062.9557405013422	0.628
1141.5578349885793	0.64
1215.8945123192154	0.652
1284.361243660314	0.664
1345.891043296736	0.676
1400.0519197421131	0.688
1447.0708336469534	0.7
1487.8026627779475	0.712
1523.62900819293	0.724
1556.2709311713545	0.736
1587.5569757641485	0.748
1619.1732196595017	0.76
1652.4295183369102	0.772
1688.045469111581	0.784
1725.9862730497223	0.796
1765.383526449339	0.808
1804.5563115482523	0.82
1841.1173054411151	0.832
1872.1705539741413	0.844
1894.5885156080801	0.856
1905.302200371995	0.868
1901.5896873104557	0.88
1881.3302516764804	0.892
1843.2259893658184	0.904
1786.9756377991064	0.916
1713.352826394058	0.928
1624.1627735368527	0.94
1522.0920449431824	0.952
1410.4680630654436	0.964
1292.9761877596968	0.976
1173.394472920041	0.988
1055.3378460693496	1.0
942.037374936705	1.012
836.145080763833	1.024
739.5893685375503	1.036
653.5107675954874	1.048
578.3016637279859	1.06
513.7095946152101	1.072
458.985015002506	1.084
413.03792808219464	1.096
374.5763589535457	1.108
342.2402991491121	1.12
314.7214644037327	1.132
290.8805364042371	1.144
269.83326849591356	1.156
250.97136838872095	1.168
233.94093153948194	1.18
218.60828801347793	1.192
205.0160293198442	1.204
193.34124326783657	1.216
183.88733697431002	1.228
177.08191027067835	1.24
173.44289155971563	1.252
173.51864214855127	1.264
177.84058716136786	1.276
186.92258792667394	1.288
201.25404905155358	1.3
221.27275969320024	1.312
247.3270583442174	1.324
279.6307596093917	1.336
318.1892234304553	1.348
362.744776976503	1.36
412.7972787233469	1.372
467.64874405681456	1.384
526.4175377016106	1.396
588.0114272408964	1.408
651.1146605243592	1.42
714.2239999750389	1.432
775.7350822466697	1.444
834.0496351107779	1.456
887.6832391610785	1.468
935.3307854646995	1.48
975.872497946632	1.492
1008.3904485453918	1.504
1032.2343797608034	1.516
1047.1138887624993	1.528
1053.1565408108563	1.54
1050.9133663630412	1.552
1041.3058459951546	1.564
1025.5407642205	1.576
1005.0222508690132	1.588
981.267131752462	1.6
955.833583074556	1.612
930.2357617119756	1.624
905.8262725050604	1.636
883.7074330239171	1.648
864.6983391970748	1.66
849.3325529486021	1.672
837.8817883782289	1.684
830.4050920871371	1.696
826.8011141248105	1.708
826.8747812858485	1.72
830.3836376578271	1.732
837.080405109442	1.744
846.7517623813379	1.756
859.2029840794768	1.768
874.213288998872	1.78
891.4894800537024	1.792
910.6163345684893	1.804
931.0112853574383	1.816
951.9010954299848	1.828
972.3217488167263	1.84
991.1597803556143	1.852
1007.1857033674697	1.864
1019.101179738433	1.876
1025.6238838195081	1.888
1025.5813543105037	1.9
1018.0016309701115	1.912
1002.2098258010195	1.924
977.8976674140956	1.936
945.1545131518891	1.948
904.4511298888111	1.96
856.5960514893893	1.972
802.7062453699265	1.984
744.1558379750537	1.996
682.4985530683255	2.008
619.3841281043291	2.02
556.4741322087831	2.032
495.34887821909484	2.044
437.43453982553115	2.056
383.9477502370228	2.068
335.8738281113872	2.08
293.94090147314296	2.092
258.59099708431455	2.104
230.00354221398462	2.116
208.1350443288914	2.128
192.75817831157042	2.14
183.48779553494114	2.152
179.81055648327282	2.164
181.12650760246342	2.176
186.8046391332635	2.188
196.23219426158954	2.2
208.88109867211838	2.212
224.3761659841337	2.224
242.51342259429168	2.236
263.27539850962677	2.248
286.83005857772457	2.26
313.53441839787337	2.272
343.9175234019578	2.284
378.6215546543228	2.296
418.32057521689967	2.308
463.62610948809856	2.32
514.9772282523594	2.332
572.5309559091663	2.344
636.0786883565104	2.356
704.9696798582746	2.368
778.0635884499821	2.38
853.7109026279103	2.392
929.7654210640707	2.404
1003.6591032260221	2.416
1072.521039890257	2.428
1133.3491127308146	2.44
1183.2149686634127	2.452
1219.4664957396133	2.464
1239.9249082613399	2.476
1243.0658644503835	2.488
1228.1844878914026	2.5
1195.5476042503103	2.512
1146.540541069136	2.524
1083.7010421554924	2.536
1010.6747420070955	2.548
932.070422500004	2.56
853.2424269484006	2.572
780.060162076992	2.584
718.6364494844835	2.596
675.012864436155	2.608
654.8249135610259	2.62
662.9209544965619	2.632
702.9648976876583	2.644
777.167660457131	2.656
886.0839307484644	2.668
1028.5176070109426	2.68
1201.534550684631	2.692
1400.5086875013324	2.704
1619.265441100501	2.716
1850.3616074631793	2.728
2085.4433797864567	2.74
2315.6892916103725	2.752
2532.282894272402	2.764
2726.8599114380563	2.776
2891.951892009296	2.788
3021.362231253715	2.8
3110.4474065089644	2.812
3156.3500999826433	2.824
3158.1202788288006	2.836
3116.6872197433327	2.848
3034.722705570303	2.86
2916.40803104342	2.872
2767.1454020899946	2.884
2593.199776877559	2.896
2401.29579360518	2.908
2198.217410204677	2.92
1990.4630266108497	2.932
1783.950248390663	2.944
1583.7872759088036	2.956
1394.1245539392446	2.968
1218.0917840804454	2.98
